2023-03-10 08:46:06.833 INFO  [background-preinit] o.h.v.i.u.Version [21] : HV000001: Hibernate Validator 6.2.5.Final
2023-03-10 08:46:06.862 INFO  [restartedMain] c.e.m.MyBlogApplication [55] : Starting MyBlogApplication using Java 11.0.6 on lijial with PID 10568 (D:\Java\myBlog\target\classes started by 86176 in D:\Java\myBlog)
2023-03-10 08:46:06.899 INFO  [restartedMain] c.e.m.MyBlogApplication [631] : No active profile set, falling back to 1 default profile: "default"
2023-03-10 08:46:06.952 INFO  [restartedMain] o.s.b.d.r.ChangeableUrls [255] : The Class-Path manifest attribute in C:\Users\86176\.m2\repository\com\sun\xml\bind\jaxb-impl\2.3.0\jaxb-impl-2.3.0.jar referenced one or more files that do not exist: file:/C:/Users/86176/.m2/repository/com/sun/xml/bind/jaxb-impl/2.3.0/jaxb-core.jar
2023-03-10 08:46:06.953 INFO  [restartedMain] o.s.b.d.r.ChangeableUrls [255] : The Class-Path manifest attribute in C:\Users\86176\.m2\repository\com\sun\xml\bind\jaxb-core\2.3.0\jaxb-core-2.3.0.jar referenced one or more files that do not exist: file:/C:/Users/86176/.m2/repository/com/sun/xml/bind/jaxb-core/2.3.0/jaxb-api.jar
2023-03-10 08:46:06.953 INFO  [restartedMain] o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor [255] : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-03-10 08:46:06.954 INFO  [restartedMain] o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor [255] : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-03-10 08:46:07.985 INFO  [restartedMain] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [376] : Bean 'org.apache.shiro.spring.config.web.autoconfigure.ShiroBeanAutoConfiguration' of type [org.apache.shiro.spring.config.web.autoconfigure.ShiroBeanAutoConfiguration$$EnhancerBySpringCGLIB$$e2a2b1cd] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-03-10 08:46:08.077 INFO  [restartedMain] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [376] : Bean 'jwtUtils' of type [com.example.myblog.utils.JwtUtils] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-03-10 08:46:08.078 INFO  [restartedMain] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [376] : Bean 'jwtFilter' of type [com.example.myblog.shior.JwtFilter] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-03-10 08:46:08.080 INFO  [restartedMain] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [376] : Bean 'shiroConfig' of type [com.example.myblog.config.ShiroConfig$$EnhancerBySpringCGLIB$$8a84772e] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
